page,key,de,en,fr,it
activate,activate.messages.error,"<strong>Ihr Benutzer konnte nicht aktiviert werden.</strong> Bitte benutzen Sie die Registrierungsmaske, um sich zu registrieren.",<strong>Your user could not be activated.</strong> Please use the registration form to sign up.,<strong>Votre compte utilisateur n'a pas pu être activé.</strong> Utilisez le formulaire d'enregistrement pour en créer un nouveau.,<strong>Il tuo account non può essere attivato.</strong> Si prega di usare il modulo di registrazione per iscriversi.
activate,activate.messages.success,"<strong>Ihr Benutzer wurde aktiviert.</strong> Bitte ","<strong>Your user account has been activated.</strong> Please ","<strong>Votre compte utilisateur a été activé.</strong> Merci de vous ",<strong>Il tuo account è stato attivato.</strong> Si prega di
activate,activate.title,Aktivierung,Activation,Activation,Attivazione
audits,audits.filter.button.clear,leeren,clear,Effacer,cancella
audits,audits.filter.button.close,abschließen,close,Fermer,chiudi
audits,audits.filter.button.today,heute,today,Aujourd'hui,oggi
audits,audits.filter.button.weeks,Wochen,Weeks,Semaines,Settimane
audits,audits.filter.from,von,from,De,da
audits,audits.filter.title,Nach Datum filtern,Filter per date,Filtrer par date,Filtra per data
audits,audits.filter.to,bis,to,à,a
audits,audits.table.data.remoteAddress,Remote-Adresse:,Remote Address:,Adresse Distante :,Indirizzo remoto:
audits,audits.table.header.data,Extrainformationen,Extra data,Autres données,Altre informazioni
audits,audits.table.header.date,Datum,Date,Date,Data
audits,audits.table.header.principal,Benutzer,User,Utilisateur,Utente
audits,audits.table.header.status,Stand,State,Status,Stato
audits,audits.title,Audits,Audits,Audits,Cambiamenti
candidate-search,candidate-search.availability.BY_ARRANGEMENT,Auf Vereinbarung,Auf Vereinbarung,Auf Vereinbarung,Auf Vereinbarung
candidate-search,candidate-search.availability.IMMEDIATE,Ab Sofort,Ab Sofort,Ab Sofort,Ab Sofort
candidate-search,candidate-search.availability.label,Verfügbarkeit,Verfügbarkeit,Verfügbarkeit,Verfügbarkeit
candidate-search,candidate-search.drivingLicenceCategory.A,A,A,A,A
candidate-search,candidate-search.drivingLicenceCategory.A1,A1,A1,A1,A1
candidate-search,candidate-search.drivingLicenceCategory.B,B,B,B,B
candidate-search,candidate-search.drivingLicenceCategory.B1,B1,B1,B1,B1
candidate-search,candidate-search.drivingLicenceCategory.BE,BE,BE,BE,BE
candidate-search,candidate-search.drivingLicenceCategory.C,C,C,C,C
candidate-search,candidate-search.drivingLicenceCategory.C1,C1,C1,C1,C1
candidate-search,candidate-search.drivingLicenceCategory.C1E,C1E,C1E,C1E,C1E
candidate-search,candidate-search.drivingLicenceCategory.CE,CE,CE,CE,CE
candidate-search,candidate-search.drivingLicenceCategory.D,D,D,D,D
candidate-search,candidate-search.drivingLicenceCategory.D1,D1,D1,D1,D1
candidate-search,candidate-search.drivingLicenceCategory.D1E,D1E,D1E,D1E,D1E
candidate-search,candidate-search.drivingLicenceCategory.DE,DE,DE,DE,DE
candidate-search,candidate-search.drivingLicenceCategory.F,F,F,F,F
candidate-search,candidate-search.drivingLicenceCategory.G,G,G,G,G
candidate-search,candidate-search.drivingLicenceCategory.M,M,M,M,M
candidate-search,candidate-search.drivingLicenceCategory.label,Führerausweiskategorie,Führerausweiskategorie,Führerausweiskategorie,Führerausweiskategorie
candidate-search,candidate-search.education.ISCED1,Primarstufe - ISCED 1,Primarstufe - ISCED 1,Primarstufe - ISCED 1,Primarstufe - ISCED 1
candidate-search,candidate-search.education.ISCED2,Sekundarstufe I - ISCED 2,Sekundarstufe I - ISCED 2,Sekundarstufe I - ISCED 2,Sekundarstufe I - ISCED 2
candidate-search,candidate-search.education.ISCED3,Sekundarstufe II - ISCED 3,Sekundarstufe II - ISCED 3,Sekundarstufe II - ISCED 3,Sekundarstufe II - ISCED 3
candidate-search,candidate-search.education.ISCED4,Zweitausbildung nicht tertiäre Stufe - ISCED 4,Zweitausbildung nicht tertiäre Stufe - ISCED 4,Zweitausbildung nicht tertiäre Stufe - ISCED 4,Zweitausbildung nicht tertiäre Stufe - ISCED 4
candidate-search,candidate-search.education.ISCED5,Tertiärstufe I - ISCED 5,Tertiärstufe I - ISCED 5,Tertiärstufe I - ISCED 5,Tertiärstufe I - ISCED 5
candidate-search,candidate-search.education.ISCED6,Tertiärstufe II - ISCED 6,Tertiärstufe II - ISCED 6,Tertiärstufe II - ISCED 6,Tertiärstufe II - ISCED 6
candidate-search,candidate-search.education.label,Bildungsstufe,Bildungsstufe,Bildungsstufe,Bildungsstufe
candidate-search,candidate-search.experience.LESS_THAN_A_YEAR,weniger als 1 Jahr,weniger als 1 Jahr,weniger als 1 Jahr,weniger als 1 Jahr
candidate-search,candidate-search.experience.MORE_THAN_3_YEARS,mehr als 3 Jahre,mehr als 3 Jahre,mehr als 3 Jahre,mehr als 3 Jahre
candidate-search,candidate-search.experience.MORE_THAN_A_YEAR,mehr als 1 Jahr,mehr als 1 Jahr,mehr als 1 Jahr,mehr als 1 Jahr
candidate-search,candidate-search.experience.label,Berufserfahrung,Berufserfahrung,Berufserfahrung,Berufserfahrung
candidate-search,candidate-search.filter.title,Kandidaten suchen,Kandidaten suchen,Kandidaten suchen,Kandidaten suchen
candidate-search,candidate-search.graduation.ACCEPTED,CH-Abschluss oder CH anerkannt,CH-Abschluss oder CH anerkannt,CH-Abschluss oder CH anerkannt,CH-Abschluss oder CH anerkannt
candidate-search,candidate-search.graduation.CH,CH-Abschluss,CH-Abschluss,CH-Abschluss,CH-Abschluss
candidate-search,candidate-search.graduation.NONE,kein Abschluss,kein Abschluss,kein Abschluss,kein Abschluss
candidate-search,candidate-search.graduation.NOT_ACCEPTED,Abschluss CH oder ausländisch,Abschluss CH oder ausländisch,Abschluss CH oder ausländisch,Abschluss CH oder ausländisch
candidate-search,candidate-search.graduation.label,Abschluss,Abschluss,Abschluss,Abschluss
candidate-search,candidate-search.keywords.label,Suchbegriffe,Suchbegriffe,Suchbegriffe,Suchbegriffe
candidate-search,candidate-search.languageSkills.button.add.title,Add,Add,Add,Add
candidate-search,candidate-search.languageSkills.button.remove.title,Remove,Remove,Remove,Remove
candidate-search,candidate-search.languageSkills.label,Sprachkentnisse,Sprachkentnisse,Sprachkentnisse,Sprachkentnisse
candidate-search,candidate-search.languageSkills.language.label,Sprachkentnisse,Sprachkentnisse,Sprachkentnisse,Sprachkentnisse
candidate-search,candidate-search.languageSkills.language.no-selection,Keine Auswahl,Keine Auswahl,Keine Auswahl,Keine Auswahl
candidate-search,candidate-search.languageSkills.level.BASIC,Grundkentnisse,Grundkentnisse,Grundkentnisse,Grundkentnisse
candidate-search,candidate-search.languageSkills.level.INTERMEDIATE,Fortgeschritten,Fortgeschritten,Fortgeschritten,Fortgeschritten
candidate-search,candidate-search.languageSkills.level.NONE,keine Kentnisse,keine Kentnisse,keine Kentnisse,keine Kentnisse
candidate-search,candidate-search.languageSkills.level.PROFICIENT,Professionell,Professionell,Professionell,Professionell
candidate-search,candidate-search.languageSkills.spoken.label,mündlich,mündlich,mündlich,mündlich
candidate-search,candidate-search.languageSkills.spoken.no-selection,mündlich,mündlich,mündlich,mündlich
candidate-search,candidate-search.languageSkills.written.label,schriftlich,schriftlich,schriftlich,schriftlich
candidate-search,candidate-search.languageSkills.written.no-selection,schriftlich,schriftlich,schriftlich,schriftlich
candidate-search,candidate-search.no-selection,,,,
candidate-search,candidate-search.occupation.label,Ich suche eine/n,Ich suche eine/n,Ich suche eine/n,Ich suche eine/n
candidate-search,candidate-search.occupation.placeholder,Berufsbezeichnung,Berufsbezeichnung,Berufsbezeichnung,Berufsbezeichnung
candidate-search,candidate-search.residenceLocation.label,Wohnort,Wohnort,Wohnort,Wohnort
candidate-search,candidate-search.skills.label,"Kenntnisse, Fähigkeiten, Skills","Kenntnisse, Fähigkeiten, Skills","Kenntnisse, Fähigkeiten, Skills","Kenntnisse, Fähigkeiten, Skills"
candidate-search,candidate-search.skills.placeholder,z.B. Tiefbau,z.B. Tiefbau,z.B. Tiefbau,z.B. Tiefbau
candidate-search,candidate-search.title,Candidate search,Candidate search,Candidate search,Candidate search
candidate-search,candidate-search.workForm.HOME_WORK,Heimarbeit,Heimarbeit,Heimarbeit,Heimarbeit
candidate-search,candidate-search.workForm.NIGHT_WORK,Nachtarbeit,Nachtarbeit,Nachtarbeit,Nachtarbeit
candidate-search,candidate-search.workForm.SHIFT_WORK,Schichtarbeit,Schichtarbeit,Schichtarbeit,Schichtarbeit
candidate-search,candidate-search.workForm.SUNDAY_AND_HOLIDAYS,Sonn- und Feiertagsarbeit,Sonn- und Feiertagsarbeit,Sonn- und Feiertagsarbeit,Sonn- und Feiertagsarbeit
candidate-search,candidate-search.workForm.label,Arbeitsform,Arbeitsform,Arbeitsform,Arbeitsform
candidate-search,candidate-search.workLocation.label,Arbeitsort,Arbeitsort,Arbeitsort,Arbeitsort
candidate-search,candidate-search.workload.label,Arbeitspensum,Arbeitspensum,Arbeitspensum,Arbeitspensum
candidate-search,candidate-search.workplace.label,Arbeitsort,Arbeitsort,Arbeitsort,Arbeitsort
candidate-search,candidate-search.workplace.placeholder,"Ort, Gemeinde, Kanton","Ort, Gemeinde, Kanton","Ort, Gemeinde, Kanton","Ort, Gemeinde, Kanton"
configuration,configuration.filter,Filter (nach Präfix),Filter (by prefix),Filtrer (par préfixe),Filtro (per prefisso)
configuration,configuration.table.prefix,Präfix,Prefix,Préfixe,Prefisso
configuration,configuration.table.properties,Eigenschaften,Properties,Propriétés,Proprietà
configuration,configuration.title,Konfiguration,Configuration,Configuration,Configurazione
elasticsearch-reindex,elasticsearch.reindex.accepted,"Request accepted, performing full Elasticsearch reindexing.","Request accepted, performing full Elasticsearch reindexing.","Request accepted, performing full Elasticsearch reindexing.","Request accepted, performing full Elasticsearch reindexing."
elasticsearch-reindex,elasticsearch.reindex.dialog.cancel,Cancel,Cancel,Cancel,Cancel
elasticsearch-reindex,elasticsearch.reindex.dialog.confirm,Reindex,Reindex,Reindex,Reindex
elasticsearch-reindex,elasticsearch.reindex.dialog.question,Are you sure you want to reindex Elasticsearch? This could take a while!,Are you sure you want to reindex Elasticsearch? This could take a while!,Are you sure you want to reindex Elasticsearch? This could take a while!,Are you sure you want to reindex Elasticsearch? This could take a while!
elasticsearch-reindex,elasticsearch.reindex.dialog.title,Confirm Elasticsearch Reindex,Confirm Elasticsearch Reindex,Confirm Elasticsearch Reindex,Confirm Elasticsearch Reindex
elasticsearch-reindex,elasticsearch.reindex.go,Go de,Go,Go,Go
elasticsearch-reindex,elasticsearch.reindex.instructions1,"This will send a request to reindex all data from your primary datasource into Elasticsearch. This will fix missing data and mapping issues, however you will lose any ES data and mapping that was defined outside of your application. This request will return immediately and the reindexing will run in the background. You will see ""Elasticsearch: Successfully performed reindexing"" in your logs when this is complete.","This will send a request to reindex all data from your primary datasource into Elasticsearch. This will fix missing data and mapping issues, however you will lose any ES data and mapping that was defined outside of your application. This request will return immediately and the reindexing will run in the background. You will see ""Elasticsearch: Successfully performed reindexing"" in your logs when this is complete.","This will send a request to reindex all data from your primary datasource into Elasticsearch. This will fix missing data and mapping issues, however you will lose any ES data and mapping that was defined outside of your application. This request will return immediately and the reindexing will run in the background. You will see ""Elasticsearch: Successfully performed reindexing"" in your logs when this is complete.","This will send a request to reindex all data from your primary datasource into Elasticsearch. This will fix missing data and mapping issues, however you will lose any ES data and mapping that was defined outside of your application. This request will return immediately and the reindexing will run in the background. You will see ""Elasticsearch: Successfully performed reindexing"" in your logs when this is complete."
elasticsearch-reindex,elasticsearch.reindex.instructions2,This can take a long time and is susceptible to concurrency issues so it should be performed when the number of users is low.,This can take a long time and is susceptible to concurrency issues so it should be performed when the number of users is low.,This can take a long time and is susceptible to concurrency issues so it should be performed when the number of users is low.,This can take a long time and is susceptible to concurrency issues so it should be performed when the number of users is low.
elasticsearch-reindex,elasticsearch.reindex.title,Reindex Elasticsearch,Reindex Elasticsearch,Reindex Elasticsearch,Reindex Elasticsearch
error,error.concurrencyFailure,Another user modified this data at the same time as you. Your changes were rejected.,Another user modified this data at the same time as you. Your changes were rejected.,Un autre utilisateur a modifié ces données en même temps que vous. Vos changements n'ont pas été sauvegardés.,Another user modified this data at the same time as you. Your changes were rejected.
error,error.http.400,Bad request.,Bad request.,Mauvaise requête.,Bad request.
error,error.http.403,Sie haben nicht die nötigen Berechtigungen diese Seite anzuzeigen.,You are not authorized to access this page.,Vous n'avez pas les droits pour accéder à cette page.,Non si dispongono i privilegi sufficienti per accedere a qusta pagina.
error,error.http.405,The HTTP verb you used is not supported for this URL.,The HTTP verb you used is not supported for this URL.,Le verbe HTTP que vous avez utilisé n'est pas reconnu par cet URL.,The HTTP verb you used is not supported for this URL.
error,error.http.500,Internal server error.,Internal server error.,Erreur interne du serveur.,Internal server error.
error,error.title,Fehlerseite!,Error page!,Page d'erreur !,Pagina di errore!
error,error.validation,Validation error on the server.,Validation error on the server.,Erreur de validation côté serveur.,Validation error on the server.
gateway,gateway.refresh.button,Aktualisieren,Refresh,Rafraîchir,Aggiorna
gateway,gateway.routes.error,Achtung: keine Server verfügbar!,Warning: no server available!,Attention : aucun serveur disponible !,Attenzione: non ci sono server disponibili!
gateway,gateway.routes.servers,Verfügbare Server,Available servers,Serveurs disponibles,Server disponibili
gateway,gateway.routes.service,service,service,Service,servizio
gateway,gateway.routes.title,Aktuelle Routen,Current routes,Routes actuelles,Itinerari attuali
gateway,gateway.routes.url,URL,URL,URL,URL
gateway,gateway.title,Gateway,Gateway,Gateway,Gateway
gender,jobroomApp.Gender.FEMALE,FEMALE,FEMALE,FEMALE,FEMALE
gender,jobroomApp.Gender.MALE,MALE,MALE,MALE,MALE
gender,jobroomApp.Gender.null,,,,
global,entity.action.addblob,Blob hinzufügen,Add blob,Ajouter blob,Aggiungi blob
global,entity.action.addimage,Bild hinzufügen,Add image,Ajouter image,Aggiungi immagine
global,entity.action.back,Zurück,Back,Retour,Indietro
global,entity.action.cancel,Abbrechen,Cancel,Annuler,Annulla
global,entity.action.delete,Löschen,Delete,Supprimer,Elimina
global,entity.action.edit,Bearbeiten,Edit,Editer,Modifica
global,entity.action.open,Open,Open,Ouvrir,Open
global,entity.action.save,Speichern,Save,Sauvegarder,Salva
global,entity.action.view,Details,View,Voir,Visualizza
